PEGINTRON, anti retroviral agents, 7.1\tDrugs Metabolized by Cytochrome P-450,,,,,,,
PEGINTRON, zidovudine, 7.1\tDrugs Metabolized by Cytochrome P-450,,,,,,,
PEGINTRON, tacrolimus, 7.1\tDrugs Metabolized by Cytochrome P-450,,,,,,,
PEGINTRON, narcotic analgesics, 7.1\tDrugs Metabolized by Cytochrome P-450,,,,,,,
PEGINTRON, methadone, 7.1\tDrugs Metabolized by Cytochrome P-450,,,,,,,
PEGINTRON, neuroleptics, 7.1\tDrugs Metabolized by Cytochrome P-450,,,,,,,
PEGINTRON, thioridazine, 7.1\tDrugs Metabolized by Cytochrome P-450,,,,,,,
PEGINTRON, xanthines, 7.1\tDrugs Metabolized by Cytochrome P-450,,,,,,,
PEGINTRON, theophylline, 7.1\tDrugs Metabolized by Cytochrome P-450,,,,,,,
Risperidone, risperidone, 7.1 Pharmacokinetic-Related Interactions,,,,,,,
Risperidone, hydroxy, 7.1 Pharmacokinetic-Related Interactions,,,,,,,
Risperidone, fluoxetine, 7.1 Pharmacokinetic-Related Interactions,,,,,,,
Risperidone, paroxetine, 7.1 Pharmacokinetic-Related Interactions,,,,,,,
Risperidone, carbamazepine, 7.1 Pharmacokinetic-Related Interactions,,,,,,,
Risperidone, carbamazepin, 7.1 Pharmacokinetic-Related Interactions,,,,,,,
Risperidone, ranitidine, 7.1 Pharmacokinetic-Related Interactions,,,,,,,
Risperidone, cimetidine, 7.1 Pharmacokinetic-Related Interactions,,,,,,,
Risperidone, amitriptyline, 7.1 Pharmacokinetic-Related Interactions,,,,,,,
 LAMOTRIGINE, lamotrigine, DRUG INTERACTIONS,,,,,,,
 LAMOTRIGINE, estrogen, DRUG INTERACTIONS,,,,,,,
 LAMOTRIGINE, oral contraceptive preparations, DRUG INTERACTIONS,,,,,,,
 LAMOTRIGINE, carbamazepine, DRUG INTERACTIONS,,,,,,,
 LAMOTRIGINE, carbamazepin, DRUG INTERACTIONS,,,,,,,
 LAMOTRIGINE, carbamazepine epoxide, DRUG INTERACTIONS,,,,,,,
 LAMOTRIGINE, phenobarbital, DRUG INTERACTIONS,,,,,,,
 LAMOTRIGINE, primidone, DRUG INTERACTIONS,,,,,,,
 LAMOTRIGINE, phenytoin, DRUG INTERACTIONS,,,,,,,
